ISOM 2000,ISOM 2017,Code,Text Representation,Definition
FALSE,FALSE,20,Not Identified,"Unknown, not listed, not applicable or impossible to determine."
FALSE,FALSE,703,Glacial Debris Undifferentiated,Heterogeneous mixture of rocks transported or deposited by glaciers. Glacial debris are mapped near permanent snow and ice areas.
206,204,704,Esker,"A narrow, sinuous, steep-sided ridge composed of sand or gravel deposited by a glacial stream."
118,115,705,Moraine,"A mound, ridge of unstratified glacial drift, predominantly till, deposited chiefly by direct action of glacier ice, in a variety of topographic landforms."
FALSE,FALSE,706,Sand,Fine grained mineral or rock material deposit including raised beaches and dunes
FALSE,FALSE,707,Tundra Polygon,"Tract of land in a permafrost region, in which the land surface has cracked and separated, forming a multitude of polygon-shaped islands with ice wedges between them."
206,204,708,Pingo,A mound containing an ice core insulated with dirt and low vegetation.
FALSE,FALSE,709,Embankment,A raised structure of earth that has been built up to support a road or railway
FALSE,FALSE,710,Cut,A surface excavation made so that a uniform grade can be maintained on a road or railway
205,203,711,Cave Entrance,A passageway to a natural underground chamber
